Date,interest rate,Price,Open,High,Low,Vol.,Change %,USDKRW,S&P 500,Dow Jones,NASDAQ,Copper Close,Gold Close,Corn Close,GDP,CPI,WorkerRate,target
2017-11-30,1.07,9946.8,9848.0,10689.1,9023.8,187010.0,1.11,1084.79,2647.580078125,24272.349609375,6873.97021484375,3.0555,1274.76,341.75,20037.088,247.284,9.0,1
2017-12-01,1.16,10861.5,9947.1,10942.8,9420.9,131920.0,9.2,1082.36,2642.219970703125,24231.58984375,6847.58984375,3.084,1280.26,344.75,20037.088,247.805,7.0,1
2017-12-02,1.16,10912.7,10861.5,11175.2,10715.5,86830.0,0.47,1082.36,2639.43994140625,24290.05078125,6775.3701171875,3.084,1280.26,344.75,20037.088,247.805,7.0,1
2017-12-03,1.16,11246.2,10912.7,11851.1,10578.4,122130.0,3.06,1082.36,2639.43994140625,24290.05078125,6775.3701171875,3.084,1280.26,344.75,20037.088,247.805,7.0,1
2017-12-04,1.16,11623.9,11244.2,11624.6,10917.8,93170.0,3.36,1082.36,2639.43994140625,24290.05078125,6775.3701171875,3.081,1276.23,339.5,20037.088,247.805,7.0,1
2017-12-05,1.16,11667.1,11624.4,11901.9,11486.1,89690.0,0.37,1086.85,2629.570068359375,24180.640625,6762.2099609375,2.9375,1266.55,339.75,20037.088,247.805,7.0,1
2017-12-06,1.16,13749.6,11667.1,13843.2,11661.8,191580.0,17.85,1094.55,2629.27001953125,24140.91015625,6776.3798828125,2.9535,1263.94,339.25,20037.088,247.805,7.0,1
2017-12-07,1.16,16850.3,13750.1,16879.3,13401.6,297110.0,22.55,1090.68,2636.97998046875,24211.48046875,6812.83984375,2.956,1246.7,338.75,20037.088,247.805,7.0,1
2017-12-08,1.16,16047.6,16868.0,17294.8,13906.1,286760.0,-4.76,1092.03,2651.5,24329.16015625,6840.080078125,2.9705,1248.14,340.0,20037.088,247.805,7.0,0
2017-12-09,1.16,14843.4,16048.2,16313.2,13151.5,181980.0,-7.5,1092.03,2659.989990234375,24386.029296875,6875.080078125,2.9705,1248.14,340.0,20037.088,247.805,7.0,0
2017-12-10,1.16,15059.6,14840.0,15783.2,13031.0,201620.0,1.46,1092.03,2659.989990234375,24386.029296875,6875.080078125,2.9705,1248.14,340.0,20037.088,247.805,7.0,1
2017-12-11,1.16,16732.5,15060.5,17399.2,15024.6,159730.0,11.11,1092.03,2659.989990234375,24386.029296875,6875.080078125,3.0035,1241.96,336.5,20037.088,247.805,7.0,1
2017-12-12,1.17,17083.9,16733.3,17560.7,16254.5,132850.0,2.1,1090.09,2664.110107421875,24504.80078125,6862.31982421875,3.0145,1243.85,335.75,20037.088,247.805,7.0,1
2017-12-13,1.17,16286.8,17083.9,17268.0,15669.9,155410.0,-4.67,1088.01,2662.85009765625,24585.4296875,6875.7998046875,3.0445,1255.45,336.75,20037.088,247.805,7.0,0
2017-12-14,1.41,16467.9,16286.8,16941.1,16023.6,107920.0,1.11,1088.09,2652.010009765625,24508.66015625,6856.52978515625,3.0635,1252.85,336.25,20037.088,247.805,7.0,1
2017-12-15,1.41,17604.8,16467.9,17987.0,16442.2,153650.0,6.9,1086.39,2675.81005859375,24651.740234375,6936.580078125,3.125,1255.26,347.5,20037.088,247.805,7.0,1
2017-12-16,1.41,19345.5,17594.1,19587.7,17318.5,112170.0,9.89,1084.28,2690.159912109375,24792.19921875,6994.759765625,3.125,1255.26,347.5,20037.088,247.805,7.0,1
2017-12-17,1.41,19065.7,19346.6,19870.6,18750.9,117410.0,-1.45,1084.28,2690.159912109375,24792.19921875,6994.759765625,3.125,1255.26,347.5,20037.088,247.805,7.0,0
2017-12-18,1.42,18972.3,19065.7,19221.1,18114.4,139250.0,-0.49,1084.28,2690.159912109375,24792.19921875,6994.759765625,3.1375,1261.69,347.0,20037.088,247.805,7.0,0
2017-12-19,1.42,17523.7,18971.2,19022.0,16812.8,174540.0,-7.64,1084.29,2681.469970703125,24754.75,6963.85009765625,3.143,1261.72,347.5,20037.088,247.805,7.0,0
2017-12-20,1.42,16462.0,17521.7,17813.6,15642.7,227680.0,-6.06,1078.14,2679.25,24726.650390625,6960.9599609375,3.187,1265.62,349.25,20037.088,247.805,7.0,0
2017-12-21,1.42,15632.1,16461.1,17301.8,14953.0,163740.0,-5.04,1078.08,2684.570068359375,24782.2890625,6965.35986328125,3.21,1266.76,351.25,20037.088,247.805,7.0,0
2017-12-22,1.42,13665.0,15632.1,15823.7,10875.7,466980.0,-12.58,1076.87,2683.340087890625,24754.060546875,6959.9599609375,3.2295,1275.01,352.0,20037.088,247.805,7.0,0
2017-12-23,1.42,14396.5,13665.0,15493.2,13356.1,170170.0,5.35,1076.87,2680.5,24746.2109375,6936.25,3.2295,1275.01,352.0,20037.088,247.805,7.0,1
2017-12-24,1.42,13790.0,14396.6,14413.7,12166.5,182420.0,-4.21,1076.87,2680.5,24746.2109375,6936.25,3.2295,1275.01,352.0,20037.088,247.805,7.0,0
2017-12-25,1.42,13833.5,13790.0,14467.4,13010.7,107480.0,0.32,1076.87,2680.5,24746.2109375,6936.25,3.2295,1275.24,352.0,20037.088,247.805,7.0,1
2017-12-26,1.42,15756.6,13830.2,16094.7,13748.5,143140.0,13.9,1073.75,2680.5,24746.2109375,6936.25,3.2715,1283.29,352.75,20037.088,247.805,7.0,1
2017-12-27,1.42,15416.6,15757.0,16514.6,14534.7,138710.0,-2.16,1073.13,2682.6201171875,24774.30078125,6939.33984375,3.274,1287.41,353.75,20037.088,247.805,7.0,0
2017-12-28,1.42,14398.7,15416.3,15505.5,13466.1,170370.0,-6.6,1068.64,2687.5400390625,24837.509765625,6950.16015625,3.3085,1294.84,352.0,20037.088,247.805,7.0,0
2017-12-29,1.33,14392.6,14398.5,15109.8,13951.1,118880.0,-0.04,1067.42,2673.610107421875,24719.220703125,6903.39013671875,3.3005,1302.55,350.75,20037.088,247.805,7.0,0
2017-12-30,1.33,12531.5,14392.1,14461.5,11962.1,182070.0,-12.93,1067.42,2695.81005859375,24824.009765625,7006.89990234375,3.3005,1302.55,350.75,20037.088,247.805,7.0,0
2017-12-31,1.33,13850.4,12532.4,14241.8,12359.4,111270.0,10.52,1067.42,2695.81005859375,24824.009765625,7006.89990234375,3.3005,1302.55,350.75,20037.088,247.805,7.0,1
2018-01-01,1.33,13444.9,13850.5,13921.5,12877.7,78430.0,-2.93,1067.42,2695.81005859375,24824.009765625,7006.89990234375,3.3005,1306.86,350.75,20328.553,248.859,2.0,0
2018-01-02,1.42,14754.1,13444.9,15306.1,12934.2,137730.0,9.74,1059.39,2695.81005859375,24824.009765625,7006.89990234375,3.278,1318.14,353.25,20328.553,248.859,2.0,1
2018-01-03,1.42,15156.6,14754.1,15435.0,14579.7,106540.0,2.73,1063.11,2713.06005859375,24922.6796875,7065.52978515625,3.2575,1312.84,353.0,20328.553,248.859,2.0,1
2018-01-04,1.42,15180.1,15156.5,15408.7,14244.7,110970.0,0.15,1061.5,2723.989990234375,25075.130859375,7077.91015625,3.263,1322.97,351.0,20328.553,248.859,2.0,1
2018-01-05,1.42,16954.8,15180.1,17126.9,14832.4,141960.0,11.69,1060.07,2743.14990234375,25295.869140625,7136.56005859375,3.2295,1320.21,351.25,20328.553,248.859,2.0,1
2018-01-06,1.42,17172.3,16954.8,17252.8,16286.6,83930.0,1.28,1066.26,2747.7099609375,25283.0,7157.39013671875,3.2295,1320.21,351.25,20328.553,248.859,2.0,1
2018-01-07,1.42,16228.2,17174.5,17184.8,15791.1,79010.0,-5.5,1066.26,2747.7099609375,25283.0,7157.39013671875,3.2295,1320.21,351.25,20328.553,248.859,2.0,0
2018-01-08,1.42,14976.2,16228.3,16302.9,13902.3,142450.0,-7.71,1066.26,2747.7099609375,25283.0,7157.39013671875,3.224,1320.58,347.25,20328.553,248.859,2.0,0
2018-01-09,1.42,14778.5,14976.2,15324.6,14613.4,71400.0,-1.32,1068.8,2751.2900390625,25385.80078125,7163.580078125,3.216,1312.66,349.0,20328.553,248.859,2.0,0
2018-01-10,1.42,15043.0,14778.5,15045.4,13613.1,87070.0,1.79,1067.55,2748.22998046875,25369.130859375,7153.56982421875,3.2355,1317.19,349.0,20328.553,248.859,2.0,1
2018-01-11,1.42,13535.4,15046.7,15109.1,13048.3,167810.0,-10.02,1062.67,2767.56005859375,25574.73046875,7211.77978515625,3.233,1322.42,348.75,20328.553,248.859,2.0,0
2018-01-12,1.42,13886.7,13529.2,14176.4,13410.0,82370.0,2.6,1062.09,2786.239990234375,25803.189453125,7261.06005859375,3.2185,1338.4,346.25,20328.553,248.859,2.0,1
2018-01-13,1.42,14292.2,13896.0,14640.7,13888.2,61140.0,2.92,1062.09,2776.419921875,25792.859375,7223.68994140625,3.2185,1338.4,346.25,20328.553,248.859,2.0,1
2018-01-14,1.42,13695.2,14291.9,14446.1,13094.7,85120.0,-4.18,1062.09,2776.419921875,25792.859375,7223.68994140625,3.2185,1338.4,346.25,20328.553,248.859,2.0,0
2018-01-15,1.42,13697.5,13695.5,14396.6,13475.4,73270.0,0.02,1062.09,2776.419921875,25792.859375,7223.68994140625,3.2185,1340.16,346.25,20328.553,248.859,2.0,1
2018-01-16,1.42,11362.0,13704.4,13711.0,10050.7,317100.0,-17.05,1064.19,2776.419921875,25792.859375,7223.68994140625,3.2195,1338.61,348.25,20328.553,248.859,2.0,0
