Date,interest rate,Price,Vol.,USDKRW,S&P 500,Dow Jones,NASDAQ,Copper Close,Gold Close,Corn Close,GDP,CPI,WorkerRate,target
2018-02-02,1.42,8893.2,519400.0,1086.21,2762.1298828125,25520.9609375,7240.9501953125,3.198,1332.98,361.5,20328.553,249.529,4.0,0
2018-02-03,1.42,9241.1,248710.0,1086.79,2648.93994140625,24345.75,6967.52978515625,3.198,1332.98,361.5,20328.553,249.529,4.0,1
2018-02-04,1.42,8222.2,280940.0,1086.79,2648.93994140625,24345.75,6967.52978515625,3.198,1332.98,361.5,20328.553,249.529,4.0,0
2018-02-05,1.42,6938.5,593890.0,1086.79,2648.93994140625,24345.75,6967.52978515625,3.2315,1339.6,358.75,20328.553,249.529,4.0,0
2018-02-06,1.42,7701.2,886880.0,1081.2,2695.139892578125,24912.76953125,7115.8798828125,3.2,1325.02,363.5,20328.553,249.529,4.0,1
2018-02-07,1.42,7594.7,445620.0,1082.56,2681.659912109375,24893.349609375,7051.97998046875,3.098,1318.49,365.25,20328.553,249.529,4.0,0
2018-02-08,1.42,8164.2,296100.0,1093.04,2581.0,23860.4609375,6777.16015625,3.092,1318.97,365.75,20328.553,249.529,4.0,1
2018-02-09,1.42,8699.8,233940.0,1087.99,2619.550048828125,24190.900390625,6874.490234375,3.0435,1316.69,362.0,20328.553,249.529,4.0,1
2018-02-10,1.42,8559.6,263530.0,1082.27,2656.0,24601.26953125,6981.9599609375,3.0435,1316.69,362.0,20328.553,249.529,4.0,0
2018-02-11,1.42,8081.9,236200.0,1082.27,2656.0,24601.26953125,6981.9599609375,3.0435,1316.69,362.0,20328.553,249.529,4.0,0
2018-02-12,1.42,8903.5,238670.0,1082.27,2656.0,24601.26953125,6981.9599609375,3.0965,1322.88,367.0,20328.553,249.529,4.0,1
2018-02-13,1.42,8539.2,195870.0,1083.07,2662.93994140625,24640.44921875,7013.509765625,3.1715,1329.55,366.75,20328.553,249.529,4.0,0
2018-02-14,1.42,9476.3,246880.0,1076.71,2698.6298828125,24893.490234375,7143.6201171875,3.245,1350.76,367.25,20328.553,249.529,4.0,1
2018-02-15,1.42,10037.3,291280.0,1065.69,2731.199951171875,25200.369140625,7256.43017578125,3.2545,1353.3,367.75,20328.553,249.529,4.0,1
2018-02-16,1.42,10178.7,206440.0,1065.27,2732.219970703125,25219.380859375,7239.47021484375,3.258,1347.86,367.5,20328.553,249.529,4.0,1
2018-02-17,1.42,11073.5,224760.0,1065.27,2716.260009765625,24964.75,7234.31005859375,3.258,1347.86,367.5,20328.553,249.529,4.0,1
2018-02-18,1.42,10398.8,288910.0,1065.27,2716.260009765625,24964.75,7234.31005859375,3.258,1347.86,367.25,20328.553,249.529,4.0,0
2018-02-19,1.42,11169.4,215200.0,1065.27,2716.260009765625,24964.75,7234.31005859375,3.258,1346.69,367.25,20328.553,249.529,4.0,1
2018-02-20,1.42,11238.7,267560.0,1072.85,2716.260009765625,24964.75,7234.31005859375,3.2015,1329.49,365.5,20328.553,249.529,4.0,1
2018-02-21,1.42,10473.0,327140.0,1076.11,2701.330078125,24797.779296875,7218.22998046875,3.226,1324.26,365.75,20328.553,249.529,4.0,0
2018-02-22,1.42,9841.7,316630.0,1077.61,2703.9599609375,24962.48046875,7210.08984375,3.2505,1331.51,366.75,20328.553,249.529,4.0,0
2018-02-23,1.42,10170.4,271500.0,1075.77,2747.300048828125,25309.990234375,7337.39013671875,3.223,1328.94,366.25,20328.553,249.529,4.0,1
2018-02-24,1.42,9704.3,239160.0,1069.0,2779.60009765625,25709.26953125,7421.4599609375,3.223,1328.94,366.25,20328.553,249.529,4.0,0
2018-02-25,1.42,9585.2,196490.0,1069.0,2779.60009765625,25709.26953125,7421.4599609375,3.223,1328.94,366.25,20328.553,249.529,4.0,0
